データタイトル,概要,ライセンス,タグ,形式,データ時点,掲載日,ダウンロード,掲載ページ,担当局室,所管課,links
市役所・区役所,,cc-by,施設,csv,,,ダウンロード,,市長室,広報課,institution01_20141128.csv
消防署・警察署,,cc-by,施設,csv,,,ダウンロード,,市長室,広報課,institution02_20141128.csv
交通関連施設,,cc-by,施設,csv,,,ダウンロード,,市長室,広報課,institution03_20141128.csv
保育所,,cc-by,施設,csv,,,ダウンロード,,市長室,広報課,institution04_20141128.csv
幼稚園,,cc-by,施設,csv,,,ダウンロード,,市長室,広報課,institution05_20141128.csv
児童館・学童保育施設,,cc-by,施設,csv,,,ダウンロード,,市長室,広報課,institution06_20141128.csv
小・中学校,,cc-by,施設,csv,,,ダウンロード,,市長室,広報課,institution07_20141128.csv
高校・大学・特別支援学校,,cc-by,施設,csv,,,ダウンロード,,市長室,広報課,institution08_20141128.csv
障害のある人のための施設,,cc-by,施設,csv,,,ダウンロード,,市長室,広報課,institution09_20141128.csv
高齢者のための施設,,cc-by,施設,csv,,,ダウンロード,,市長室,広報課,institution10_20141128.csv
地域福祉センター,,cc-by,施設,csv,,,ダウンロード,,市長室,広報課,institution11_20141128.csv
区民センター・勤労会館・公民館など,,cc-by,施設,csv,,,ダウンロード,,市長室,広報課,institution12_20141128.csv
公園,,cc-by,施設,csv,,,ダウンロード,,市長室,広報課,institution13_20141128.csv
駐車場・駐輪場,,cc-by,施設,csv,,,ダウンロード,,市長室,広報課,institution14_20141128.csv
スポーツ・レジャー・文化施設,,cc-by,施設,csv,,,ダウンロード,,市長室,広報課,institution15_20141128.csv
その他の神戸市の施設,,cc-by,施設,csv,,,ダウンロード,,市長室,広報課,institution16_20141128.csv
その他の官公庁,,cc-by,施設,csv,,,ダウンロード,,市長室,広報課,institution17_20141128.csv
屋内の緊急避難場所,,著作物ではありません,防災,csv,2015/6/1,2015/6/1,ダウンロード,ページ,危機管理室,,okunaihinanjyo.csv
屋外の緊急避難場所,,著作物ではありません,防災,csv,2015/6/1,2015/6/1,ダウンロード,ページ,危機管理室,,okugaihinanjyo.csv
まちかど救急ステーション（AED設置）登録施設一覧,,cc-by-nc,防災,xml,2015/7/2,2015/7/2,ダウンロード,ページ,消防局,救急課,aed--_kobe.xml
応急給水拠点一覧,,cc-by,防災,csv,,,ダウンロード,ページ,水道局,業務課,emergency_water_kobe_20141128.csv
夜景スポット一覧,,cc-by,観光,csv,,,ダウンロード,,,,yakei_kobe_20141128.csv
ロケ地情報一覧（作品別）,,cc-by,観光,csv,,,ダウンロード,ページ,,観光コンベンション協会,filming_list_kobe.csv
ロケ地情報一覧（エリア別）,,cc-by,観光,csv,,,ダウンロード,ページ,,観光コンベンション協会,filming_location_kobe.csv
野外彫刻作品一覧,,cc-by,文化,csv,,,ダウンロード,ページ,市民参画推進局,文化交流部,sculpture_kobecity_20141128.csv
こうべ・だれでもトイレ設置施設一覧,,cc-by,観光,csv,,,ダウンロード,ページ,住宅都市局,まちのデザイン課,utoilet_kobe_20141128.csv
行政サービス情報一覧,,cc-by-sa,子育て,csv,,,ダウンロード,ページ,子ども家庭局,総務課,mamahure_seido_20150221.csv
